#t / s	&b_A1 / rad	f_1
64.6	0.01	0
64.66	0.01	0
64.71	0.02	0
64.75	0.02	0
64.8	0.02	0
64.85	0.03	0
64.9	0.03	0
64.95	0.03	0
65	0.03	0
65.05	0.02	0
65.1	0.02	0
65.15	0.02	0
65.2	0.01	0
65.25	0.01	0
65.3	0.01	0
65.35	0	0
65.41	0	0
65.45	0	0
65.5	0	0
65.55	0	0
65.6	-0.01	0
65.65	-0.01	0
65.7	-0.01	0
65.75	-0.01	0
65.8	-0.01	0
65.85	-0.01	0
65.9	-0.01	0
65.96	-0.01	0
66	-0.01	0
66.06	0	0
66.1	0	0
66.15	0	0
66.21	0	0
66.25	0	0
66.3	0	0
66.35	0	0
66.4	0.01	0
66.45	0.01	0
66.5	0.01	0
66.55	0.01	0
66.61	0.01	0
66.65	0.01	0
66.7	0.01	0
66.75	0.01	0
66.8	0.01	0
66.85	0.01	0
66.9	0.01	0
66.95	0.01	0
67	0.01	0
67.05	0	0
67.11	0	0
67.15	0	0
67.2	0	0
67.25	0	0
67.31	0	0
67.36	0	0
67.4	0	0
67.45	0	0
67.5	0	0
67.56	0	0
